,Song,Film,Year,Music Director,Lyricist,Singers
8946,http://giitaayan.com/viewisbsong.asp?id=10888,Chandi Sona,1977,R D Burman,Majrooh,Mukesh
8947,http://giitaayan.com/viewisbsong.asp?id=11643,Gharib Ka Laal/ Prince of Paupers,1939,Sagir Asif,,
8948,http://giitaayan.com/viewisbsong.asp?id=2472,Raam Teri Gangaa Maili,1985,Ravindra Jain,Hasrat,Lata
8949,http://giitaayan.com/viewisbsong.asp?id=14285,Supari,2003,Vishal-Shekhar,Vishal,"Vishal, Sunidhi Chauhan, Chorus"
8950,http://giitaayan.com/viewisbsong.asp?id=14243,Sunehri Nagin,1963,Kalyanji-Anandji,Farooq Kaisar,"Mukesh, Lata"
8951,http://giitaayan.com/viewisbsong.asp?id=1740,Saawan Ko Aane Do,1979,Rajkamal,Indeevar,Yesudas
8952,http://giitaayan.com/viewisbsong.asp?id=11533,Ghaat,2000,Annu Malik,Sameer,"Pankaj Udhaas, Alka Yagnik"
8953,http://giitaayan.com/viewisbsong.asp?id=20938,Kalyug,2005,"Faisal Rafi , Rohail Hayat",Asim Raza,Raahat Fateh Ali Khan
8954,http://giitaayan.com/viewisbsong.asp?id=12369,Kuchh Dil Ne Kahaa,2000,Lalit Sen,Bipin Chandra Chaugule,"Udit Narayan, Anuradha Paudwal..."
8955,http://giitaayan.com/viewisbsong.asp?id=1741,Dilwaale Dulhaniyaa Le Jaayenge,1995,Jatin-Lalit,Anand Bakshi,"Kumar Sanu, Lata"
8956,http://giitaayan.com/viewisbsong.asp?id=10916,Chhoti Si Mulaqaat,1967,Shankar-Jaikishan,Hasrat,"Rafi, Suman"
8957,http://giitaayan.com/viewisbsong.asp?id=10055,Anaadi No. 1,1,Dilip Sen-Sameer Sen,Dev Kohli,"Sonu Nigam, Alka Yagnik"
8958,http://giitaayan.com/viewisbsong.asp?id=14395,Tarkeeb/ Reaching The Killer,2000,Aadesh Srivastava,Nida Fazli,"Vinod Rathod, Alka Yagnik"
8959,http://giitaayan.com/viewisbsong.asp?id=12502,Kudrat Kaa Kaanoon,1987,Laxmikant-Pyarelal,Sameer,"Shabbir Kumar, Lata"
8960,http://giitaayan.com/viewisbsong.asp?id=1742,Asli Naqli,1962,Shankar-Jaikishan,Hasrat,"Rafi, Lata"
8961,http://giitaayan.com/viewisbsong.asp?id=10093,Aaghaaz,2000,Annu Malik,Sameer,"Sonu Nigam, Chorus"
8962,http://giitaayan.com/viewisbsong.asp?id=1743,Aakhiri Daao,1958,Madan Mohan,Majrooh,Rafi
8963,http://giitaayan.com/viewisbsong.asp?id=10487,Bijuriyaa (Non-Film),2001,Ravi Pawar,Ajay Zingran,Sonu Nigam
8964,http://giitaayan.com/viewisbsong.asp?id=13773,Raam Shaastra,1995,Annu Malik,Rahat Indori,"Vinod Rathod, Alka Yagnik"
