Song,Film,Year,Music Director,Lyricist,Singers
http://giitaayan.com/viewisbsong.asp?id=13,Door Gagan Ki Chhaon Mein,1964,Kishore,Kishore,Kishore
http://giitaayan.com/viewisbsong.asp?id=13071,Mr. X in Bombay,1964,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Lata"
http://giitaayan.com/viewisbsong.asp?id=13318,Navrang,1959,C Ramchandra,Bharat Vyas,Asha
http://giitaayan.com/viewisbsong.asp?id=13253,Naazneen,1951,Ghulam Mohammad,Shakeel,Lata
http://giitaayan.com/viewisbsong.asp?id=11781,Hogi Pyaar Ki Jeet,1999,Anand-Milind,Sameer,"Abhijit, Sonu Nigam, Jaspindar..."
http://giitaayan.com/viewisbsong.asp?id=14078,Sherani,1988,Kalyanji-Anandji,Verma Malik,Anuradha Paudwal
http://giitaayan.com/viewisbsong.asp?id=rmim0679,Nai Taleem,1949,Vasant Desai,S R Chopda,Lata
http://giitaayan.com/viewisbsong.asp?id=15241,Anjuman (Non-Film),1990,,Munir Niyazi,Ghulam Ali
http://giitaayan.com/viewisbsong.asp?id=10359,April Fool,1964,Shankar-Jaikishan,Shailendra,Rafi
http://giitaayan.com/viewisbsong.asp?id=11696,Hum Tumhare Hain Sanam,2002,Nikhil-Vinay,Sameer,"Udit Narayan, Chorus"
http://giitaayan.com/viewisbsong.asp?id=rmim0731,Noorjehan,1967,Roshan,Shakeel,"Asha, Usha"
http://giitaayan.com/viewisbsong.asp?id=14923,Naveli (Pakistan),1952,I H Qureshi/ Nazir Jafri,,Munawwar Sultana
http://giitaayan.com/viewisbsong.asp?id=2504,Sazaa,1951,S D Burman,Rajinder Krishan,"Hemant, Sandhya Mukherjee, cho..."
http://giitaayan.com/viewisbsong.asp?id=10286,Ayee Milan Ki Bela,1964,Shankar-Jaikishan,Shailendra,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=20626,Nadir Shah,1968,S N Tripathi,,Lata
http://giitaayan.com/viewisbsong.asp?id=14,Chatpati (1982) and Yasmeen (1973),1982,Basu Manohari,Yogesh,"Lata, Kishore"
http://giitaayan.com/viewisbsong.asp?id=2255,Badi Maa,1945,K Datta,Zia Sarhadi,Noorjehan
http://giitaayan.com/viewisbsong.asp?id=13084,Main Prem Ki Diwani Hoon,2003,Annu Malik,Dev Kohli,"Chitra, KK"
http://giitaayan.com/viewisbsong.asp?id=13306,Nai Kahani,1943,Shyam Sundar,Wali Saheb,G M Durrani
http://giitaayan.com/viewisbsong.asp?id=87,Anmol Ghadi,1946,Naushad,Tanvir Naqvi,Noorjehan
http://giitaayan.com/viewisbsong.asp?id=74,Teesri Manzil,1966,R D Burman,Majrooh,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=2758,Raajdhaani,1956,Hansraj Behl,Asad Bhopali,Lata
